pair_id,layer,pr_url_a,pr_url_b,evidence_page,same_intent,different_accounts,prior_awareness,discussion_consensus,label,master_pr_id,duplicate_pr_id,evidence_notes,reviewer_id,reviewed_at_utc
3922353732_3922565957,B,https://github.com/openclaw/openclaw/pull/13504,https://github.com/openclaw/openclaw/pull/13531,review.html#pair-3922353732_3922565957,,,,,,,,,,
4038063151_4039711188,B,https://github.com/gastownhall/gastown/pull/2469,https://github.com/gastownhall/gastown/pull/2508,review.html#pair-4038063151_4039711188,,,,,,,,,,
3975003829_3975196044,B,https://github.com/milady-ai/milady/pull/452,https://github.com/milady-ai/milady/pull/457,review.html#pair-3975003829_3975196044,,,,,,,,,,
3934368108_3934411121,B,https://github.com/Scottcjn/Rustchain/pull/126,https://github.com/Scottcjn/Rustchain/pull/127,review.html#pair-3934368108_3934411121,,,,,,,,,,
3987616285_3987616852,B,https://github.com/milady-ai/milady/pull/604,https://github.com/milady-ai/milady/pull/605,review.html#pair-3987616285_3987616852,,,,,,,,,,
3713102115_3713114160,B,https://github.com/dotnet/runtime/pull/122371,https://github.com/dotnet/runtime/pull/122373,review.html#pair-3713102115_3713114160,,,,,,,,,,
4128824231_4128994454,B,https://github.com/milady-ai/milady/pull/1292,https://github.com/milady-ai/milady/pull/1294,review.html#pair-4128824231_4128994454,,,,,,,,,,
3180443475_3187802886,B,https://github.com/celestiaorg/celestia-core/pull/2074,https://github.com/celestiaorg/celestia-core/pull/2092,review.html#pair-3180443475_3187802886,,,,,,,,,,
3943784105_3943840406,B,https://github.com/shakacode/shakapacker/pull/913,https://github.com/shakacode/shakapacker/pull/922,review.html#pair-3943784105_3943840406,,,,,,,,,,
4036124214_4036128824,B,https://github.com/abhigyanpatwari/GitNexus/pull/201,https://github.com/abhigyanpatwari/GitNexus/pull/202,review.html#pair-4036124214_4036128824,,,,,,,,,,
4123322706_4123324136,B,https://github.com/cBioPortal/cbioportal/pull/12053,https://github.com/cBioPortal/cbioportal/pull/12054,review.html#pair-4123322706_4123324136,,,,,,,,,,
3934981025_3945225493,B,https://github.com/foxglove/foxglove-sdk/pull/872,https://github.com/foxglove/foxglove-sdk/pull/886,review.html#pair-3934981025_3945225493,,,,,,,,,,
3944811377_3944814790,B,https://github.com/microsoft/agent-framework/pull/3943,https://github.com/microsoft/agent-framework/pull/3944,review.html#pair-3944811377_3944814790,,,,,,,,,,
4006563403_4006580349,B,https://github.com/gastownhall/beads/pull/2226,https://github.com/gastownhall/beads/pull/2227,review.html#pair-4006563403_4006580349,,,,,,,,,,
4175063347_4175068995,B,https://github.com/vllm-project/vllm-omni/pull/2349,https://github.com/vllm-project/vllm-omni/pull/2350,review.html#pair-4175063347_4175068995,,,,,,,,,,
