pair_id,pr_id_a,pr_id_b,repo_id,pr_number_a,pr_number_b,title_a,title_b,author_a,author_b,author_user_id_a,author_user_id_b,agent_a,agent_b,html_url_a,html_url_b,created_at_a,created_at_b,earlier_pr_id,later_pr_id,temporal_order,evidence_count,evidence_ids,evidence_rule_ids,evidence_types,first_indicator_evidence_id,first_indicator_rule_id,first_indicator_at,candidate_detection_latency_hours,same_author,same_author_basis,prior_comment_awareness,snapshot_reference_flag,prefilter_exclusion_reason,duplicate_label,rater_1_label,rater_2_label,adjudicated_label,adjudicated_master_pr_id,adjudicated_duplicate_pr_id,adjudication_rationale
3132751132_3195544950,3132751132,3195544950,225880766,2758,2855,fix(auth): restore logged-in user on app resume,feat(auth): restore auth state after sdk init,takenagain,CharlVS,11577022,77973576,OpenAI_Codex,OpenAI_Codex,https://github.com/GLEECBTC/gleec-wallet/pull/2758,https://github.com/GLEECBTC/gleec-wallet/pull/2855,2025-06-10 09:01:27+00:00,2025-07-02 11:16:09+00:00,3132751132,3195544950,a_before_b,1,pr_comment:3027648458,MSR2018-R1,pr_comment,pr_comment:3027648458,MSR2018-R1,2025-07-02 12:14:12+00:00,0.9675,False,,False,False,,,,,,,,
3133541905_3133682512,3133541905,3133682512,899127822,399,401,Fix UTF-8 streaming in JSON parser,Handle unicode in JSONStreamParser,pierrevalade,guillaq,11172,4003862,OpenAI_Codex,OpenAI_Codex,https://github.com/WorkflowAI/WorkflowAI/pull/399,https://github.com/WorkflowAI/WorkflowAI/pull/401,2025-06-10 13:09:03+00:00,2025-06-10 13:49:00+00:00,3133541905,3133682512,a_before_b,1,pr_comment:2959582112,MSR2018-R1,pr_comment,pr_comment:2959582112,MSR2018-R1,2025-06-10 14:55:21+00:00,1.1058333333333332,False,,False,False,,,,,,,,
3234253127_3234324431,3234253127,3234324431,573411360,579,580,"Fix CSS import queries (?url, ?inline, ?raw) being incorrectly collected in RSC plugin",fix(rsc): exclude CSS imports with special queries from automatic injection,Copilot,hi-ogawa,198982749,4232207,Copilot,Claude_Code,https://github.com/vitejs/vite-plugin-react/pull/579,https://github.com/vitejs/vite-plugin-react/pull/580,2025-07-16 02:42:08+00:00,2025-07-16 03:34:43+00:00,3234253127,3234324431,a_before_b,1,pr_comment:3076598887,MSR2018-R1,pr_comment,pr_comment:3076598887,MSR2018-R1,2025-07-16 03:35:47+00:00,0.017777777777777778,False,,False,False,,,,,,,,
3254503350_3504406700,3254503350,3504406700,775839592,1474,1759,Split unit tests for GCP,Factor tests by GCP dependency,dlwh,rjpower,9633,607207,OpenAI_Codex,Claude_Code,https://github.com/marin-community/marin/pull/1474,https://github.com/marin-community/marin/pull/1759,2025-07-23 01:17:13+00:00,2025-10-10 20:21:23+00:00,3254503350,3504406700,a_before_b,1,pr_comment:3392306107,MSR2018-R1,pr_comment,pr_comment:3392306107,MSR2018-R1,2025-10-10 21:04:47+00:00,0.7233333333333334,False,,False,False,,,,,,,,
3438243820_3438254087,3438243820,3438254087,599431918,13974,13975,Fix missing dot in import.defer/import.source codegen,fix(codegen): add missing dot when printing import.defer and import.source,Copilot,Boshen,198982749,1430279,Copilot,Claude_Code,https://github.com/oxc-project/oxc/pull/13974,https://github.com/oxc-project/oxc/pull/13975,2025-09-21 13:16:01+00:00,2025-09-21 13:30:45+00:00,3438243820,3438254087,a_before_b,1,pr_comment:3316010549,MSR2018-R1,pr_comment,pr_comment:3316010549,MSR2018-R1,2025-09-21 13:54:20+00:00,0.39305555555555555,False,,False,False,,,,,,,,
3502438802_3527730543,3502438802,3527730543,386644013,1937,1953,feat: proximity-based update forwarding (clean implementation),fix: resolve lost wakeup race condition in network event loop,sanity,iduartgomez,23075,15803684,Claude_Code,Claude_Code,https://github.com/freenet/freenet-core/pull/1937,https://github.com/freenet/freenet-core/pull/1953,2025-10-10 11:15:22+00:00,2025-10-17 22:26:13+00:00,3502438802,3527730543,a_before_b,2,pr_comment:3422086761;pr_comment:3423977849,MSR2018-R1;MSR2018-R1,pr_comment,pr_comment:3422086761,MSR2018-R1,2025-10-20 13:33:12+00:00,63.11638888888889,False,,False,False,,,,,,,,
3507275426_3571160388,3507275426,3571160388,355197825,2288,2305,fix: prevent stale failure statuses on commits,fix(github): update check status to in_progress on retest,zakisk,infernus01,49492007,89133323,Claude_Code,Claude_Code,https://github.com/tektoncd/pipelines-as-code/pull/2288,https://github.com/tektoncd/pipelines-as-code/pull/2305,2025-10-12 14:21:22+00:00,2025-10-30 14:48:52+00:00,3507275426,3571160388,a_before_b,1,pr_comment:3471381606,MSR2018-R1,pr_comment,pr_comment:3471381606,MSR2018-R1,2025-10-31 05:20:44+00:00,14.53111111111111,False,,False,False,,,,,,,,
3514629416_3515666984,3514629416,3515666984,256628396,4283,4291,Improve error message for field initialization attempts,Improve error message for field initialization attempts,devin-ai-integration[bot],Copilot,158243242,198982749,Devin,Copilot,https://github.com/onflow/cadence/pull/4283,https://github.com/onflow/cadence/pull/4291,2025-10-14 16:17:41+00:00,2025-10-14 22:09:29+00:00,3514629416,3515666984,a_before_b,1,pr_comment:3404328468,MSR2018-R1,pr_comment,pr_comment:3404328468,MSR2018-R1,2025-10-15 02:58:11+00:00,4.8116666666666665,False,,False,False,,,,,,,,
3514637135_3515667802,3514637135,3515667802,256628396,4284,4292,Fix pretty printer to avoid unnecessary parentheses with force-unwrap,Fix pretty printer adding unnecessary parentheses around force expressions in access chains,devin-ai-integration[bot],Copilot,158243242,198982749,Devin,Copilot,https://github.com/onflow/cadence/pull/4284,https://github.com/onflow/cadence/pull/4292,2025-10-14 16:19:44+00:00,2025-10-14 22:09:42+00:00,3514637135,3515667802,a_before_b,1,pr_comment:3404336126,MSR2018-R1,pr_comment,pr_comment:3404336126,MSR2018-R1,2025-10-15 03:03:41+00:00,4.8997222222222225,False,,False,False,,,,,,,,
3514931820_3515668490,3514931820,3515668490,256628396,4286,4293,Add JSON-CDC support for TypeValue of AttachmentType,Add JSON-CDC support for TypeValue of AttachmentType,devin-ai-integration[bot],Copilot,158243242,198982749,Devin,Copilot,https://github.com/onflow/cadence/pull/4286,https://github.com/onflow/cadence/pull/4293,2025-10-14 17:53:31+00:00,2025-10-14 22:09:59+00:00,3514931820,3515668490,a_before_b,1,pr_comment:3404332313,MSR2018-R1,pr_comment,pr_comment:3404332313,MSR2018-R1,2025-10-15 03:00:57+00:00,4.849444444444444,False,,False,False,,,,,,,,
3514974540_3515669791,3514974540,3515669791,256628396,4288,4295,Improve JSON decode error messages with path context,Improve JSON decoding error messages with contextual information and performance optimization,devin-ai-integration[bot],Copilot,158243242,198982749,Devin,Copilot,https://github.com/onflow/cadence/pull/4288,https://github.com/onflow/cadence/pull/4295,2025-10-14 18:08:38+00:00,2025-10-14 22:10:31+00:00,3514974540,3515669791,a_before_b,1,pr_comment:3404343203,MSR2018-R1,pr_comment,pr_comment:3404343203,MSR2018-R1,2025-10-15 03:08:32+00:00,4.966944444444445,False,,False,False,,,,,,,,
3514988244_3515669323,3514988244,3515669323,256628396,4289,4294,Pretty print error messages in testing framework,[Cadence Testing Framework] Pretty Print Error Messages when running tests,devin-ai-integration[bot],Copilot,158243242,198982749,Devin,Copilot,https://github.com/onflow/cadence/pull/4289,https://github.com/onflow/cadence/pull/4294,2025-10-14 18:13:39+00:00,2025-10-14 22:10:14+00:00,3514988244,3515669323,a_before_b,1,pr_comment:3404347864,MSR2018-R1,pr_comment,pr_comment:3404347864,MSR2018-R1,2025-10-15 03:11:38+00:00,5.023333333333333,False,,False,False,,,,,,,,
3515188163_3515682674,3515188163,3515682674,256628396,4290,4296,Add reduce function to arrays,Add `reduce` function to arrays,devin-ai-integration[bot],Copilot,158243242,198982749,Devin,Copilot,https://github.com/onflow/cadence/pull/4290,https://github.com/onflow/cadence/pull/4296,2025-10-14 19:28:00+00:00,2025-10-14 22:15:58+00:00,3515188163,3515682674,a_before_b,1,pr_comment:3404370784,MSR2018-R1,pr_comment,pr_comment:3404370784,MSR2018-R1,2025-10-15 03:21:21+00:00,5.089722222222222,False,,False,False,,,,,,,,
3554398399_3554475843,3554398399,3554475843,338848755,1183,1184,Replace Compose Stable Marker with `androidx.compose.runtime:runtime-annotation`,Replace compose-stable-marker with official runtime-annotation,patrickmichalik,Copilot,120058021,198982749,OpenAI_Codex,Copilot,https://github.com/patrykandpatrick/vico/pull/1183,https://github.com/patrykandpatrick/vico/pull/1184,2025-10-26 20:02:56+00:00,2025-10-26 21:44:20+00:00,3554398399,3554475843,a_before_b,1,pr_comment:3448954380,MSR2018-R1,pr_comment,pr_comment:3448954380,MSR2018-R1,2025-10-26 22:00:03+00:00,0.2619444444444444,False,,False,False,,,,,,,,
3586155427_3609368686,3586155427,3609368686,235901813,40859,41214,Update PostHog AI copy,"fix(ai): Replace ""Max can"" with ""PostHog AI can""",annikaschmid,Twixes,14750837,4550621,Cursor,Cursor,https://github.com/PostHog/posthog/pull/40859,https://github.com/PostHog/posthog/pull/41214,2025-11-04 11:28:54+00:00,2025-11-10 19:20:14+00:00,3586155427,3609368686,a_before_b,1,pr_comment:3514359499,MSR2018-R1,pr_comment,pr_comment:3514359499,MSR2018-R1,2025-11-10 23:38:26+00:00,4.303333333333334,False,,False,False,,,,,,,,
