pair_id,pr_id_source,pr_id_target,repo_id,evidence_id,comment_id,comment_type,evidence_created_at,evidence_user,reference_kind,reference_number,reference_token,matched_text,rejection_reason
3986689366_3987374889,3986689366,3987374889,306829688,pr_comment:3957005039,3957005039,pr_comment,2026-02-25 05:48:43+00:00,Copilot,local_hash,8702,#8702,"@zhangzhonghe I've opened a new pull request, #8702, to work on those changes. Once the pull request is ready, I'll request review from you.",
3983446951_4044076765,4044076765,3983446951,781211748,pr_comment:4021942399,4021942399,pr_comment,2026-03-09 08:15:03+00:00,coderabbitai[bot],qualified,607,iota-uz/iota-sdk#607,"igration and controller/template updates — strong code-level overlap with the new spec/runtime and rendering changes.
- iota-uz/iota-sdk#607: Changes touching DashboardController lifecycle and datasource initialization — overlaps controller and datasource conc",
3781810231_3946670039,3946670039,3781810231,41117523,pr_comment:3907520982,3907520982,pr_comment,2026-02-16 09:58:23+00:00,claude[bot],local_hash,2284,#2284,"install_generator_spec.rb`

### Conclusion

This PR successfully addresses the backward compatibility gap identified in #2284. The implementation is clean, well-tested, and follows the codebase conventions. The regex broadening and fallback extr",
3732521005_3732851168,3732851168,3732521005,669466632,pr_comment:3658454271,3658454271,pr_comment,2025-12-16 02:37:43+00:00,coderabbitai[bot],qualified,1508,selfxyz/self#1508,"hat header styling choices (black background, white tint) align with app design standards

## Possibly related PRs

- **selfxyz/self#1508**: Modifies the same QRCodeViewFinder navigation options and sets `gestureEnabled: false` alongside implementing back-n",
3896029522_3898964305,3896029522,3898964305,1103012935,pr_comment:3850433503,3850433503,pr_comment,2026-02-05 00:35:05+00:00,gumadeiras,local_hash,9182,#9182,"Closing in favor of #9182 since the fork branch is not writable.

The fix is merged on main via the replacement PR.",
3764479047_3764600064,3764479047,3764600064,1112828151,pr_comment:3693849126,3693849126,pr_comment,2025-12-27 09:04:55+00:00,Copilot,local_hash,82,#82,"@0verL1nk I've opened a new pull request, #82, to work on those changes. Once the pull request is ready, I'll request review from you.",
3944042196_4165937058,4165937058,3944042196,781211748,pr_comment:4151200968,4151200968,pr_comment,2026-03-29 22:18:30+00:00,coderabbitai[bot],qualified,585,iota-uz/iota-sdk#585,"templates, Alpine frontend, controller/session lifecycle, planner/types/ui/meilisearch/ranking/grouper and tests.  
- **iota-uz/iota-sdk#585** — Overlapping Spotlight changes (templates, Alpine lifecycle, controller/session refactor, HitToComponent/LinkItem si",
3956889060_3971972896,3971972896,3956889060,1134220362,pr_comment:3938731924,3938731924,pr_comment,2026-02-21 12:49:04+00:00,coderabbitai[bot],qualified,543,accomplish-ai/accomplish#543," entry with `Play` icon.|

## Estimated code review effort

🎯 3 (Moderate) | ⏱️ ~25 minutes

## Possibly related PRs

- accomplish-ai/accomplish#543: Overlaps the same UI components and theme tokens with icon and UI-related modifications.  
- accomplish-ai/accomplish#",
3968421071_3971972896,3971972896,3968421071,1134220362,pr_comment:3938731924,3938731924,pr_comment,2026-02-21 12:49:04+00:00,coderabbitai[bot],qualified,570,accomplish-ai/accomplish#570,"omplish-ai/accomplish#543: Overlaps the same UI components and theme tokens with icon and UI-related modifications.  
- accomplish-ai/accomplish#570: Touches `LanguageSelector` and related UI controls; changes to icon usage could conflict.  
- accomplish-ai/accomplish",
3952675521_3971972896,3971972896,3952675521,1134220362,pr_comment:3938731924,3938731924,pr_comment,2026-02-21 12:49:04+00:00,coderabbitai[bot],qualified,523,accomplish-ai/accomplish#523,"mplish-ai/accomplish#570: Touches `LanguageSelector` and related UI controls; changes to icon usage could conflict.  
- accomplish-ai/accomplish#523: Also migrates web components from `lucide-react` to `@phosphor-icons/react`, directly related.

## Suggested reviewers",
3903496980_4128066672,4128066672,3903496980,574173538,pr_comment:4118553549,4118553549,pr_comment,2026-03-24 14:01:09+00:00,coderabbitai[bot],qualified,930,hyperlane-xyz/hyperlane-warp-ui-template#930,"fallback sender retry logic for fee quotes and made `fetchFeeQuotes` exported for testing.|

## Possibly related PRs

- hyperlane-xyz/hyperlane-warp-ui-template#930: Modifies `assembleWarpCoreConfig` in the same file to adjust warp route loading and return shape, creating a direct co",
3349747713_3392477285,3392477285,3349747713,669466632,pr_comment:3264486593,3264486593,pr_comment,2025-09-08 03:48:57+00:00,coderabbitai[bot],qualified,946,selfxyz/self#946,"r: report cache hit/miss
```

## Estimated code review effort
🎯 4 (Complex) | ⏱️ ~45 minutes

## Possibly related PRs
- selfxyz/self#946 — Similar migration to Yarn-centric caching and cache-version-based keys across mobile workflows.  
- selfxyz/self#915 ",
3329170767_3392477285,3392477285,3329170767,669466632,pr_comment:3264486593,3264486593,pr_comment,2025-09-08 03:48:57+00:00,coderabbitai[bot],qualified,915,selfxyz/self#915," selfxyz/self#946 — Similar migration to Yarn-centric caching and cache-version-based keys across mobile workflows.  
- selfxyz/self#915 — Overlapping edits to mobile e2e iOS workflow and Yarn/cache handling.  
- selfxyz/self#759 — Changes to mobile CI cac",
4109141522_4111511187,4109141522,4111511187,1050131556,pr_comment:4102371068,4102371068,pr_comment,2026-03-21 05:45:53+00:00,ChuxiJ,local_hash,919,#919,"Superseded by consolidated V2 implementation PR #919, which now carries this stack forward against \. Closing this split PR to keep the review surface clean.",
3257396996_4041636712,4041636712,3257396996,1009089036,pr_comment:4019408427,4019408427,pr_comment,2026-03-08 16:27:37+00:00,coderabbitai[bot],qualified,9,satococoa/wtp#9,"ered/rewritten messages.|

## Estimated code review effort

🎯 3 (Moderate) | ⏱️ ~25 minutes

## Possibly related PRs

- satococoa/wtp#9 — touched `cmd/wtp/add.go` and earlier branch-disambiguation logic; closely related to the removed `MultipleBranchesErr",
3258436718_4041636712,4041636712,3258436718,1009089036,pr_comment:4019408427,4019408427,pr_comment,2026-03-08 16:27:37+00:00,coderabbitai[bot],qualified,10,satococoa/wtp#10,"p/add.go` and earlier branch-disambiguation logic; closely related to the removed `MultipleBranchesError` handling.  
- satococoa/wtp#10 — modified `resolveBranchTracking` / ambiguity handling in `cmd/wtp/add.go`; overlaps with this PR's error-detection ch",
3922705373_4041636712,4041636712,3922705373,1009089036,pr_comment:4019408427,4019408427,pr_comment,2026-03-08 16:27:37+00:00,coderabbitai[bot],qualified,85,satococoa/wtp#85," `resolveBranchTracking` / ambiguity handling in `cmd/wtp/add.go`; overlaps with this PR's error-detection changes.  
- satococoa/wtp#85 — changes to `cmd/wtp/add.go` and tests (post-create execution wiring) that intersect with this PR's test helper and co",
3959400026_3959400027,3959400027,3959400026,893244234,pr_comment:3922711313,3922711313,pr_comment,2026-02-18 19:20:26+00:00,s0up4200,local_hash,200,#200,Closing duplicate PR. Keeping the original PR #200 for this branch.,
3265334651_3265344408,3265334651,3265344408,21764480,pr_comment:3121496361,3121496361,pr_comment,2025-07-26 08:29:42+00:00,coderabbitai[bot],qualified,14193,hmislk/hmis#14193,"k line at the end of file.|

## Estimated code review effort

🎯 1 (Trivial) | ⏱️ ~2 minutes

## Possibly related PRs

- hmislk/hmis#14193: The main PR only removes a trailing blank line from the existing OPD navigation documentation file added in the retrie",
3942469151_3943498499,3943498499,3942469151,85431399,pr_comment:3903744205,3903744205,pr_comment,2026-02-15 08:30:45+00:00,greptile-apps[bot],local_hash,892,#892,"<h3>Greptile Summary</h3>

This PR combines Prettier formatting fixes from #892 with the `privateOutputPath` JavaScript config fix from #891. The changes add a computed `privateOutputPath` property t",
3942432982_3943498499,3943498499,3942432982,85431399,pr_comment:3903744205,3903744205,pr_comment,2026-02-15 08:30:45+00:00,greptile-apps[bot],local_hash,891,#891,"mary</h3>

This PR combines Prettier formatting fixes from #892 with the `privateOutputPath` JavaScript config fix from #891. The changes add a computed `privateOutputPath` property to the JavaScript config that mirrors the Ruby implementation,",
3943498499_3943523455,3943498499,3943523455,85431399,pr_comment:3903765801,3903765801,pr_comment,2026-02-15 08:40:54+00:00,justin808,local_hash,902,#902,"Superseded by #902. This PR failed  due workflow-file validation, so the replacement keeps only the privateOutputPath fix and tests.",
