pair_id,layer,pr_url_a,pr_url_b,evidence_page,same_intent,different_accounts,prior_awareness,discussion_consensus,label,master_pr_id,duplicate_pr_id,evidence_notes,reviewer_id,reviewed_at_utc
3114364443_3287024374,A,https://github.com/anthropics/claude-code-action/pull/117,https://github.com/anthropics/claude-code-action/pull/388,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3114364443_3287024374,,,,,,,,,,
3132751132_3195544950,A,https://github.com/GLEECBTC/gleec-wallet/pull/2758,https://github.com/GLEECBTC/gleec-wallet/pull/2855,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3132751132_3195544950,,,,,,,,,,
3133541905_3133682512,A,https://github.com/WorkflowAI/WorkflowAI/pull/399,https://github.com/WorkflowAI/WorkflowAI/pull/401,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3133541905_3133682512,,,,,,,,,,
3234253127_3234324431,A,https://github.com/vitejs/vite-plugin-react/pull/579,https://github.com/vitejs/vite-plugin-react/pull/580,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3234253127_3234324431,,,,,,,,,,
3254503350_3504406700,A,https://github.com/marin-community/marin/pull/1474,https://github.com/marin-community/marin/pull/1759,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3254503350_3504406700,,,,,,,,,,
3438243820_3438254087,A,https://github.com/oxc-project/oxc/pull/13974,https://github.com/oxc-project/oxc/pull/13975,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3438243820_3438254087,,,,,,,,,,
3502438802_3527730543,A,https://github.com/freenet/freenet-core/pull/1937,https://github.com/freenet/freenet-core/pull/1953,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3502438802_3527730543,,,,,,,,,,
3507275426_3571160388,A,https://github.com/tektoncd/pipelines-as-code/pull/2288,https://github.com/tektoncd/pipelines-as-code/pull/2305,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3507275426_3571160388,,,,,,,,,,
3514629416_3515666984,A,https://github.com/onflow/cadence/pull/4283,https://github.com/onflow/cadence/pull/4291,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3514629416_3515666984,,,,,,,,,,
3514637135_3515667802,A,https://github.com/onflow/cadence/pull/4284,https://github.com/onflow/cadence/pull/4292,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3514637135_3515667802,,,,,,,,,,
3514931820_3515668490,A,https://github.com/onflow/cadence/pull/4286,https://github.com/onflow/cadence/pull/4293,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3514931820_3515668490,,,,,,,,,,
3514974540_3515669791,A,https://github.com/onflow/cadence/pull/4288,https://github.com/onflow/cadence/pull/4295,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3514974540_3515669791,,,,,,,,,,
3514988244_3515669323,A,https://github.com/onflow/cadence/pull/4289,https://github.com/onflow/cadence/pull/4294,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3514988244_3515669323,,,,,,,,,,
3515188163_3515682674,A,https://github.com/onflow/cadence/pull/4290,https://github.com/onflow/cadence/pull/4296,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3515188163_3515682674,,,,,,,,,,
3554398399_3554475843,A,https://github.com/patrykandpatrick/vico/pull/1183,https://github.com/patrykandpatrick/vico/pull/1184,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3554398399_3554475843,,,,,,,,,,
3559596985_3559645318,A,https://github.com/timoncool/videosos/pull/108,https://github.com/timoncool/videosos/pull/113,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3559596985_3559645318,,,,,,,,,,
3586155427_3609368686,A,https://github.com/PostHog/posthog/pull/40859,https://github.com/PostHog/posthog/pull/41214,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3586155427_3609368686,,,,,,,,,,
3660211016_3911944604,A,https://github.com/shakacode/react_on_rails/pull/2116,https://github.com/shakacode/react_on_rails/pull/2370,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3660211016_3911944604,,,,,,,,,,
3696978574_3696995327,A,https://github.com/PrefectHQ/prefect/pull/19645,https://github.com/PrefectHQ/prefect/pull/19646,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3696978574_3696995327,,,,,,,,,,
3705235912_3718001064,A,https://github.com/tektoncd/pipelines-as-code/pull/2351,https://github.com/tektoncd/pipelines-as-code/pull/2353,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3705235912_3718001064,,,,,,,,,,
3726562705_4026369275,A,https://github.com/promptfoo/promptfoo/pull/6667,https://github.com/promptfoo/promptfoo/pull/7991,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3726562705_4026369275,,,,,,,,,,
3739240022_3942500031,A,https://github.com/Automattic/wp-calypso/pull/107744,https://github.com/Automattic/wp-calypso/pull/108713,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3739240022_3942500031,,,,,,,,,,
3739438728_3942500031,A,https://github.com/Automattic/wp-calypso/pull/107748,https://github.com/Automattic/wp-calypso/pull/108713,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3739438728_3942500031,,,,,,,,,,
3744507677_3744508721,A,https://github.com/PrefectHQ/prefect/pull/19872,https://github.com/PrefectHQ/prefect/pull/19873,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3744507677_3744508721,,,,,,,,,,
3755549346_3755906803,A,https://github.com/AndyMik90/Aperant/pull/154,https://github.com/AndyMik90/Aperant/pull/169,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3755549346_3755906803,,,,,,,,,,
3772135990_3775557235,A,https://github.com/breaking-brake/cc-wf-studio/pull/344,https://github.com/breaking-brake/cc-wf-studio/pull/353,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3772135990_3775557235,,,,,,,,,,
3774890444_3774895443,A,https://github.com/Cap-go/capgo/pull/1345,https://github.com/Cap-go/capgo/pull/1346,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3774890444_3774895443,,,,,,,,,,
3790754258_3790771546,A,https://github.com/toshimaru/rubocop-rails_config/pull/190,https://github.com/toshimaru/rubocop-rails_config/pull/191,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3790754258_3790771546,,,,,,,,,,
3790998684_3976226107,A,https://github.com/lablup/backend.ai-webui/pull/4991,https://github.com/lablup/backend.ai-webui/pull/5481,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3790998684_3976226107,,,,,,,,,,
3799830726_3805184892,A,https://github.com/doobidoo/mcp-memory-service/pull/341,https://github.com/doobidoo/mcp-memory-service/pull/345,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3799830726_3805184892,,,,,,,,,,
3824635502_3824690213,A,https://github.com/openclaw/openclaw/pull/1079,https://github.com/openclaw/openclaw/pull/1082,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3824635502_3824690213,,,,,,,,,,
3835215714_3857777438,A,https://github.com/astronomer/agents/pull/39,https://github.com/astronomer/agents/pull/53,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3835215714_3857777438,,,,,,,,,,
3857255903_3857717015,A,https://github.com/exa-labs/exa-py/pull/149,https://github.com/exa-labs/exa-py/pull/150,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3857255903_3857717015,,,,,,,,,,
3870052868_3870134092,A,https://github.com/rryam/VecturaKit/pull/64,https://github.com/rryam/VecturaKit/pull/65,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3870052868_3870134092,,,,,,,,,,
3874071915_4067298233,A,https://github.com/gepa-ai/gepa/pull/181,https://github.com/gepa-ai/gepa/pull/243,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3874071915_4067298233,,,,,,,,,,
3890439818_4161490375,A,https://github.com/quartznet/quartznet/pull/2821,https://github.com/quartznet/quartznet/pull/2925,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3890439818_4161490375,,,,,,,,,,
3892035159_3898942614,A,https://github.com/openclaw/openclaw/pull/8113,https://github.com/openclaw/openclaw/pull/9179,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3892035159_3898942614,,,,,,,,,,
3895119837_4042574650,A,https://github.com/openclaw/openclaw/pull/8644,https://github.com/openclaw/openclaw/pull/40385,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3895119837_4042574650,,,,,,,,,,
3895767594_4045562271,A,https://github.com/OpenMS/OpenMS/pull/8741,https://github.com/OpenMS/OpenMS/pull/8862,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3895767594_4045562271,,,,,,,,,,
3895949301_3899058695,A,https://github.com/openclaw/openclaw/pull/8768,https://github.com/openclaw/openclaw/pull/9202,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_001.md#pair-3895949301_3899058695,,,,,,,,,,
3896029522_3898964305,A,https://github.com/openclaw/openclaw/pull/8780,https://github.com/openclaw/openclaw/pull/9182,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3896029522_3898964305,,,,,,,,,,
3907539357_3914032536,A,https://github.com/openclaw/openclaw/pull/10536,https://github.com/openclaw/openclaw/pull/12229,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3907539357_3914032536,,,,,,,,,,
3908134994_3985379801,A,https://github.com/apache/spark/pull/54184,https://github.com/apache/spark/pull/54453,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3908134994_3985379801,,,,,,,,,,
3908195023_3913251948,A,https://github.com/supabase/supabase-py/pull/1380,https://github.com/supabase/supabase-py/pull/1381,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3908195023_3913251948,,,,,,,,,,
3912131783_3914148882,A,https://github.com/huggingface/transformers/pull/43831,https://github.com/huggingface/transformers/pull/43850,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3912131783_3914148882,,,,,,,,,,
3914026734_3918934929,A,https://github.com/openclaw/openclaw/pull/12226,https://github.com/openclaw/openclaw/pull/12988,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3914026734_3918934929,,,,,,,,,,
3914206460_3914224140,A,https://github.com/php/php-src/pull/21174,https://github.com/php/php-src/pull/21175,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3914206460_3914224140,,,,,,,,,,
3914781453_3919484350,A,https://github.com/erigontech/erigon/pull/19037,https://github.com/erigontech/erigon/pull/19064,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3914781453_3919484350,,,,,,,,,,
3928863324_3929450045,A,https://github.com/jobovy/galpy/pull/827,https://github.com/jobovy/galpy/pull/828,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3928863324_3929450045,,,,,,,,,,
3939928777_3988036418,A,https://github.com/lightonai/next-plaid/pull/11,https://github.com/lightonai/next-plaid/pull/24,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3939928777_3988036418,,,,,,,,,,
3941583815_3948088837,A,https://github.com/jhlee0409/claude-code-history-viewer/pull/130,https://github.com/jhlee0409/claude-code-history-viewer/pull/135,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3941583815_3948088837,,,,,,,,,,
3942174121_3961781641,A,https://github.com/git-ai-project/git-ai/pull/528,https://github.com/git-ai-project/git-ai/pull/564,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3942174121_3961781641,,,,,,,,,,
3942432982_3943796277,A,https://github.com/shakacode/shakapacker/pull/891,https://github.com/shakacode/shakapacker/pull/917,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3942432982_3943796277,,,,,,,,,,
3950289529_3978986396,A,https://github.com/gsd-build/get-shit-done/pull/624,https://github.com/gsd-build/get-shit-done/pull/720,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3950289529_3978986396,,,,,,,,,,
3952900646_3978902277,A,https://github.com/gsd-build/get-shit-done/pull/631,https://github.com/gsd-build/get-shit-done/pull/716,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3952900646_3978902277,,,,,,,,,,
3953730266_3959828804,A,https://github.com/Lightning-AI/litgpt/pull/2203,https://github.com/Lightning-AI/litgpt/pull/2204,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3953730266_3959828804,,,,,,,,,,
3972971372_3983627591,A,https://github.com/zeroclaw-labs/zeroclaw/pull/1317,https://github.com/zeroclaw-labs/zeroclaw/pull/1637,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3972971372_3983627591,,,,,,,,,,
3975024594_3975818772,A,https://github.com/shakacode/react_on_rails/pull/2476,https://github.com/shakacode/react_on_rails/pull/2478,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3975024594_3975818772,,,,,,,,,,
3977235894_3977334181,A,https://github.com/Lakr233/AssppWeb/pull/6,https://github.com/Lakr233/AssppWeb/pull/8,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3977235894_3977334181,,,,,,,,,,
3983565651_4101350724,A,https://github.com/sqlfluff/sqlfluff/pull/7536,https://github.com/sqlfluff/sqlfluff/pull/7645,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3983565651_4101350724,,,,,,,,,,
3984858957_3987569866,A,https://github.com/zeroclaw-labs/zeroclaw/pull/1669,https://github.com/zeroclaw-labs/zeroclaw/pull/1731,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3984858957_3987569866,,,,,,,,,,
3984866271_3987570042,A,https://github.com/zeroclaw-labs/zeroclaw/pull/1670,https://github.com/zeroclaw-labs/zeroclaw/pull/1732,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3984866271_3987570042,,,,,,,,,,
3984876447_3987570305,A,https://github.com/zeroclaw-labs/zeroclaw/pull/1671,https://github.com/zeroclaw-labs/zeroclaw/pull/1734,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3984876447_3987570305,,,,,,,,,,
3985131354_3987572570,A,https://github.com/zeroclaw-labs/zeroclaw/pull/1678,https://github.com/zeroclaw-labs/zeroclaw/pull/1736,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3985131354_3987572570,,,,,,,,,,
3988039659_4006985033,A,https://github.com/TanStack/db/pull/1294,https://github.com/TanStack/db/pull/1312,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3988039659_4006985033,,,,,,,,,,
3990324884_4020751574,A,https://github.com/nearai/ironclaw/pull/364,https://github.com/nearai/ironclaw/pull/528,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3990324884_4020751574,,,,,,,,,,
3993275977_4101562413,A,https://github.com/yhs0602/Android-Disassembler/pull/727,https://github.com/yhs0602/Android-Disassembler/pull/728,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3993275977_4101562413,,,,,,,,,,
3996184406_4160757393,A,https://github.com/camunda/camunda/pull/47005,https://github.com/camunda/camunda/pull/49938,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-3996184406_4160757393,,,,,,,,,,
4001844377_4007980034,A,https://github.com/openclaw/openclaw/pull/28945,https://github.com/openclaw/openclaw/pull/30886,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-4001844377_4007980034,,,,,,,,,,
4005983018_4011852872,A,https://github.com/aaddrick/claude-desktop-debian/pull/269,https://github.com/aaddrick/claude-desktop-debian/pull/273,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-4005983018_4011852872,,,,,,,,,,
4007309376_4008241298,A,https://github.com/openclaw/openclaw/pull/30705,https://github.com/openclaw/openclaw/pull/30966,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-4007309376_4008241298,,,,,,,,,,
4008035064_4008916219,A,https://github.com/openclaw/openclaw/pull/30904,https://github.com/openclaw/openclaw/pull/31181,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-4008035064_4008916219,,,,,,,,,,
4008469059_4008614235,A,https://github.com/openclaw/openclaw/pull/31035,https://github.com/openclaw/openclaw/pull/31080,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-4008469059_4008614235,,,,,,,,,,
4008614235_4008723608,A,https://github.com/openclaw/openclaw/pull/31080,https://github.com/openclaw/openclaw/pull/31109,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-4008614235_4008723608,,,,,,,,,,
4012733219_4013365410,A,https://github.com/openclaw/openclaw/pull/32045,https://github.com/openclaw/openclaw/pull/32183,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-4012733219_4013365410,,,,,,,,,,
4012754295_4012792869,A,https://github.com/openclaw/openclaw/pull/32049,https://github.com/openclaw/openclaw/pull/32059,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-4012754295_4012792869,,,,,,,,,,
4012792869_4012903656,A,https://github.com/openclaw/openclaw/pull/32059,https://github.com/openclaw/openclaw/pull/32092,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-4012792869_4012903656,,,,,,,,,,
4012882596_4013365410,A,https://github.com/openclaw/openclaw/pull/32082,https://github.com/openclaw/openclaw/pull/32183,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-4012882596_4013365410,,,,,,,,,,
4013375906_4013923139,A,https://github.com/openclaw/openclaw/pull/32185,https://github.com/openclaw/openclaw/pull/32309,https://github.com/cjllz/EMSE/blob/cjllz-rq1/a_layer/review_002.md#pair-4013375906_4013923139,,,,,,,,,,
